Table A the orbital elements of the targets (space debris) at the initial moment (case1 and case 2)

ID	Initial orbit elements of target spacecraft (Mean anomaly)
1		[7165.740,  0.001,  1.708,  0.075  0.519  3.221]
2		[7119.483,  0.017,  1.719,  0.101  2.250  4.881]
3		[7159.621,  0.004,  1.695,  0.056  4.493  6.244]
4		[7110.511,  0.007,  1.694,  0.034  3.412  4.771]
5		[7102.000,  0.002,  1.750,  0.011  2.397  3.133]
6		[7173.465,  0.009,  1.725,  0.064  2.987  5.494]
7		[7058.042,  0.009,  1.721,  0.082  4.981  4.196]
8		[7059.602,  0.002,  1.707,  0.044  4.302  5.348]
9		[7134.324,  0.016,  1.745,  0.010  5.838  5.562]
10		[7147.208,  0.008,  1.705,  0.028  1.276  5.223]
11		[7162.215,  0.002,  1.718,  0.016  1.894  4.385]
12		[7232.508,  0.001,  1.707,  0.029  1.708  3.357]
13		[7158.643,  0.010,  1.732,  0.046  2.945  3.284]
14		[7236.494,  0.003,  1.714,  0.055  4.148  2.258]
15		[7183.439,  0.006,  1.698,  0.048  4.991  3.556]
16		[7182.861,  0.007,  1.725,  0.092  5.518  4.051]
17		[7089.469,  0.009,  1.715,  0.054  2.913  1.401]
18		[7172.023,  0.008,  1.712,  0.099  2.724  1.170]
19		[7116.054,  0.009,  1.720,  0.067  0.911  3.300]
20		[7130.316,  0.011,  1.721,  0.100  2.103  1.031]
21		[7012.358,  0.004,  1.715,  0.025  2.224  1.441]
22		[7059.521,  0.005,  1.721,  0.071  3.329  3.536]
23		[7062.555,  0.004,  1.727,  0.030  5.532  5.910]
24		[7157.398,  0.015,  1.722,  0.070  2.611  2.827]
25		[7155.533,  0.013,  1.717,  0.073  0.724  5.576]
26		[7146.484,  0.009,  1.716,  0.007  4.910  1.910]
27		[7103.926,  0.006,  1.695,  0.027  3.546  0.056]
28		[7179.069,  0.012,  1.727,  0.023  4.249  0.313]
29		[7154.893,  0.009,  1.712,  0.070  0.432  4.344]
30		[7212.280,  0.005,  1.724,  0.088  5.123  0.013]
31		[7043.105,  0.006,  1.713,  0.036  5.559  0.155]
32		[7051.173,  0.006,  1.742,  0.082  0.837  2.310]
33		[7138.316,  0.016,  1.724,  0.071  5.902  5.820]
34		[7173.333,  0.000,  1.744,  0.001  2.672  3.919]
35		[7077.974,  0.014,  1.722,  0.063  2.417  3.348]
36		[7181.533,  0.008,  1.687,  0.041  4.725  1.983]
37		[7126.644,  0.019,  1.732,  0.096  1.894  1.965]
38		[7052.245,  0.001,  1.705,  0.000  0.362  5.343]
39		[7215.644,  0.008,  1.719,  0.048  3.403  4.706]
40		[7215.587,  0.007,  1.743,  0.044  1.159  2.909]
41		[7115.545,  0.003,  1.718,  0.048  5.494  0.557]
42		[7053.731,  0.004,  1.704,  0.081  3.661  3.818]
43		[7160.059,  0.006,  1.722,  0.034  2.496  5.814]
44		[7056.234,  0.008,  1.725,  0.082  5.473  5.664]
45		[7228.525,  0.002,  1.743,  0.049  4.709  6.273]
46		[7196.788,  0.009,  1.713,  0.004  0.994  5.286]
47		[7172.848,  0.001,  1.733,  0.018  1.283  0.564]
48		[7198.381,  0.001,  1.704,  0.076  3.575  0.200]
49		[7226.075,  0.003,  1.704,  0.050  3.382  3.559]
50		[7163.630,  0.006,  1.694,  0.016  1.066  4.404]
51		[7229.884,  0.003,  1.713,  0.036  1.223  0.041]
52		[7273.982,  0.000,  1.698,  0.064  2.513  0.409]
53		[7184.065,  0.012,  1.703,  0.020  4.286  2.265]
54		[7120.605,  0.019,  1.724,  0.077  6.034  2.318]
55		[7082.709,  0.005,  1.726,  0.025  3.875  4.174]
56		[7111.954,  0.007,  1.701,  0.096  3.020  0.246]
57		[7132.885,  0.016,  1.722,  0.028  2.813  2.126]
58		[7114.376,  0.000,  1.693,  0.080  1.560  0.568]
59		[7105.628,  0.012,  1.726,  0.020  5.261  2.566]
60		[7271.247,  0.000,  1.721,  0.030  2.216  5.077]

Table B the orbital elements of the servicing spacecraft for case 1 and 2 at the initial moment.
ID	Initial orbit elements of servicing spacecraft (Mean anomaly)
1		[7174.638,  0.009,  1.723,  0.070  1.289  0.260]
2		[7166.045,  0.004,  1.682,  0.078  3.617  1.400]
3		[7104.180,  0.004,  1.722,  0.054  2.377  4.435]
4		[7032.688,  0.001,  1.699,  0.036  3.505  3.773]

Table C the orbital elements of the targets (defunct satellite) at the initial moment (case3)
ID	Initial orbit elements of target spacecraft (Mean anomaly)
1		[6988.489,  0.000,  1.222,  0.000  0.483  0.160]
2		[6976.329,  0.000,  1.231,  0.175  0.164  0.479]
3		[6957.999,  0.000,  1.225,  0.350  0.325  0.318]
4		[6975.916,  0.000,  1.226,  0.527  0.450  0.193]
5		[6959.596,  0.000,  1.223,  0.700  0.573  0.070]
6		[7001.472,  0.000,  1.231,  0.879  0.617  0.026]
7		[7005.257,  0.000,  1.225,  1.050  0.352  0.291]
8		[6984.340,  0.000,  1.232,  1.232  0.089  0.554]
9		[6986.700,  0.000,  1.230,  1.400  0.096  0.547]
10		[6979.712,  0.000,  1.228,  1.586  0.166  0.477]
11		[7000.473,  0.000,  1.225,  1.755  0.541  0.102]
12		[6951.574,  0.000,  1.229,  1.936  0.164  0.479]
13		[7016.666,  0.000,  1.227,  2.094  0.524  0.119]
14		[6985.580,  0.000,  1.224,  2.276  0.157  0.486]
15		[6954.667,  0.000,  1.231,  2.457  0.598  0.045]
16		[6971.493,  0.000,  1.228,  2.643  0.225  0.418]
17		[7010.034,  0.000,  1.228,  2.802  0.161  0.482]
18		[6991.272,  0.000,  1.231,  2.971  0.396  0.247]
19		[7005.140,  0.000,  1.227,  3.165  0.126  0.517]
20		[7002.290,  0.000,  1.231,  3.346  0.304  0.339]

Table D the orbital elements of the servicing spacecraft for case 3 at the initial moment.
ID	Initial orbit elements of servicing spacecraft (Mean anomaly)
1		[6918.504,  0.000,  1.215,  0.691  0.000  2.915]
2		[6918.134,  0.000,  1.212,  0.987  0.000  1.782]
